,LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%)
C,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
S1,78.0,80.0,76.0,80.0,72.0,74.0,80.0,82.0,76.0,78.0,76.0,74.0
S2,100.0,96.0,96.0,94.0,98.0,100.0,100.0,96.0,96.0,94.0,98.0,100.0
S3,72.0,72.0,66.0,68.0,76.0,70.0,70.0,72.0,70.0,76.0,76.0,72.0
S4,90.0,84.0,88.0,90.0,80.0,88.0,90.0,88.0,90.0,90.0,84.0,88.0
S5,72.0,74.0,68.0,72.0,74.0,70.0,76.0,74.0,72.0,74.0,72.0,64.0
S6,80.0,66.0,62.0,62.0,68.0,72.0,78.0,68.0,64.0,64.0,68.0,70.0
S7,86.0,88.0,80.0,88.0,86.0,78.0,84.0,88.0,86.0,88.0,86.0,78.0
S8,72.0,76.0,68.0,72.0,78.0,68.0,78.0,74.0,70.0,74.0,80.0,70.0
S9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0
S10,86.0,80.0,78.0,78.0,78.0,80.0,82.0,80.0,78.0,82.0,82.0,78.0
S11,84.0,74.0,74.0,74.0,66.0,78.0,82.0,76.0,76.0,74.0,68.0,76.0
S12,98.0,96.0,96.0,96.0,96.0,92.0,98.0,96.0,96.0,94.0,96.0,94.0
S13,100.0,96.0,96.0,94.0,98.0,100.0,100.0,96.0,96.0,96.0,98.0,100.0
S14,76.0,76.0,78.0,76.0,78.0,80.0,84.0,78.0,80.0,76.0,82.0,86.0
S15,86.0,86.0,72.0,74.0,82.0,86.0,80.0,84.0,74.0,74.0,82.0,84.0
S16,78.0,74.0,64.0,70.0,64.0,80.0,80.0,70.0,60.0,70.0,62.0,76.0
S17,76.0,60.0,62.0,58.0,62.0,72.0,78.0,68.0,66.0,64.0,62.0,78.0
S18,92.0,94.0,88.0,92.0,94.0,94.0,90.0,94.0,88.0,92.0,94.0,92.0
S19,74.0,62.0,58.0,62.0,58.0,68.0,74.0,66.0,58.0,62.0,62.0,66.0
S20,70.0,80.0,78.0,78.0,80.0,66.0,72.0,80.0,80.0,80.0,80.0,66.0
S21,90.0,90.0,86.0,84.0,84.0,82.0,86.0,90.0,84.0,82.0,84.0,84.0
S22,100.0,90.0,88.0,88.0,90.0,88.0,100.0,90.0,88.0,88.0,90.0,88.0
S23,74.0,76.0,68.0,68.0,60.0,62.0,76.0,76.0,66.0,66.0,60.0,58.0
S24,76.0,68.0,68.0,70.0,72.0,72.0,72.0,74.0,76.0,72.0,74.0,72.0
S25,100.0,96.0,88.0,90.0,98.0,100.0,100.0,92.0,88.0,92.0,98.0,100.0
S26,90.0,92.0,96.0,94.0,94.0,90.0,92.0,92.0,96.0,96.0,92.0,90.0
S27,90.0,92.0,92.0,88.0,88.0,94.0,92.0,90.0,90.0,88.0,86.0,88.0
Mean,84.81,82.15,79.04,80.0,80.52,81.63,84.96,82.74,80.15,80.89,81.19,81.19
SD,10.35,11.41,12.59,11.83,12.75,11.73,9.87,10.17,12.01,11.04,12.31,12.09
